[10.332241877293251, 1.9999999999999982, 0.0][0.40000000000000113, -2.0816681711721685e-17, 0.0][5.2041704279304065e-17, 1.0, 0.0][-0.0, 0.0, 1.0]
[10.38649390284063, 1.999999999999998, 0.0][0.3999999999999986, -2.7755575615628914e-17, 0.0][6.938893903907253e-17, 1.0, 0.0][-0.0, 0.0, 1.0]
[10.41350609715937, 1.999999999999998, 0.0][0.39999999999999886, -1.842137841600493e-18, 0.0][4.605344604001246e-18, 1.0, 0.0][-0.0, 0.0, 1.0]
[10.467758122706748, 1.999999999999998, 0.0][0.3999999999999978, 1.4612334779673386e-16, 0.0][-3.6530836949183667e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[10.55227616278336, 1.9999999999999978, 0.0][0.39999999999999714, 3.8510861166685117e-16, 0.0][-9.627715291671348e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[10.647723837216635, 1.999999999999998, 0.0][0.39999999999999913, 9.26342336171615e-16, 0.0][-2.3158558404290426e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[10.73224187729325, 1.9999999999999982, 0.0][0.39999999999999986, 8.396061623727746e-16, 0.0][-2.0990154059319374e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[10.78649390284063, 1.999999999999999, 0.0][0.40000000000000147, 9.020562075079397e-16, 0.0][-2.255140518769841e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[10.813506097159369, 1.9999999999999987, 0.0][0.4, 7.245379011585804e-16, 0.0][-1.811344752896451e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[10.867758122706746, 1.9999999999999987, 0.0][0.3999999999999999, 5.712661246826123e-16, 0.0][-1.4281653117065311e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[10.952276162783358, 1.9999999999999987, 0.0][0.4000000000000018, 5.108760636751697e-16, 0.0][-1.2771901591879185e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[11.047723837216637, 1.999999999999999, 0.0][0.400000000000002, 5.100087019371813e-16, 0.0][-1.2750217548429467e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[11.132241877293252, 1.999999999999999, 0.0][0.40000000000000124, 3.191891195797325e-16, 0.0][-7.979727989493288e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[11.18649390284063, 1.9999999999999993, 0.0][0.3999999999999997, 2.498001805406602e-16, 0.0][-6.24500451351651e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[11.213506097159371, 1.999999999999999, 0.0][0.3999999999999996, 7.221432331375741e-17, 0.0][-1.8053580828439372e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[11.267758122706747, 1.999999999999999, 0.0][0.39999999999999875, -1.1167282376600696e-17, 0.0][2.7918205941501825e-17, 1.0, 0.0][-0.0, 0.0, 1.0]
[11.352276162783358, 1.9999999999999991, 0.0][0.39999999999999836, -1.2836953722228372e-16, 0.0][3.2092384305571064e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[11.44772383721664, 1.9999999999999993, 0.0][0.3999999999999999, 1.6653345369377348e-16, 0.0][-4.163336342344338e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[11.53224187729325, 1.9999999999999991, 0.0][0.400000000000003, 2.220446049250313e-16, 0.0][-5.551115123125741e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[11.58649390284063, 1.9999999999999991, 0.0][0.400000000000007, 3.3306690738754696e-16, 0.0][-8.326672684688528e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[11.613506097159373, 1.9999999999999993, 0.0][0.4000000000000073, 2.6723381266104823e-16, 0.0][-6.6808453165260835e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[11.66775812270675, 1.9999999999999993, 0.0][0.40000000000000907, 2.5500435096859064e-16, 0.0][-6.375108774214621e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[11.752276162783362, 1.9999999999999991, 0.0][0.400000000000011, 5.551115123125783e-16, 0.0][-1.3877787807814074e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[11.847723837216648, 1.9999999999999993, 0.0][0.4000000000000057, -6.661338147750939e-16, 0.0][1.6653345369377111e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[11.932241877293256, 1.9999999999999987, 0.0][0.39999999999998437, -4.440892098500626e-15, 0.0][1.1102230246252e-14, 1.0, 0.0][-0.0, 0.0, 1.0]
[11.986493902840632, 1.9999999999999978, 0.0][0.39999999999995595, -1.0658141036401503e-14, 0.0][2.664535259100669e-14, 1.0, 0.0][-0.0, 0.0, 1.0]
