# Kratos Output Displacements 
#
# curve_a.CurveGeometry3D
# solution step :: 0
# Id                        Init x:                        Init y:                        Init z:                Init rotartion:                         Disp x                         Disp y                         Disp z                  Disp rotation
#***********************************************************************************************************************************************************************************************************************************************************#
  10             14.666666666666666              4.999999999999997                            0.0                            0.0          -0.008889240518263009           -0.25057661875704706                            0.0                            0.0
  11             15.333333333333336              5.000000000000005                            0.0                            0.0          -0.013364105716256347            -0.3279758129310748                            0.0                            0.0
  12             16.000000000000004             4.9999999999999964                            0.0                            0.0          -0.019119386338070754           -0.41563855865229016                            0.0                            0.0
  13             16.666666666666664              5.000000000000005                            0.0                            0.0           -0.02631415118082714            -0.5135437571653423                            0.0                            0.0
  14             17.199999999999996             4.9999999999999964                            0.0                            0.0           -0.03334852830442969            -0.6000430270746984                            0.0                            0.0
  15             17.599999999999994              5.000000000000002                            0.0                            0.0          -0.039414756057073674            -0.6695042689645803                            0.0                            0.0
  16             17.866666666666667              5.000000000000002                            0.0                            0.0          -0.043831272063254545            -0.7178465397652793                            0.0                            0.0
  17                           18.0                            5.0                            0.0                            0.0           -0.04613524918457301              -0.74252587422027                            0.0                            0.0
# Kratos Output Displacements 
#
# curve_b.CurveGeometry3D
# solution step :: 1
# Id                        Init x:                        Init y:                        Init z:                Init rotartion:                         Disp x                         Disp y                         Disp z                  Disp rotation
#***********************************************************************************************************************************************************************************************************************************************************#
   1                           18.0                            5.0                            0.0                            0.0           -0.04613524918456946              -0.74252587422027                            0.0                            0.0
   2              18.11666666666666              4.999999999999995                            0.0                            0.0          -0.048151229174099086            -0.7641202919128309                            0.0                            0.0
   3             18.350000000000016              5.000000000000007                            0.0                            0.0           -0.05232975905324011            -0.8080873071003305                            0.0                            0.0
   4              18.69999999999999             4.9999999999999964                            0.0                            0.0           -0.05904782720384105            -0.8763703796325544                            0.0                            0.0
   5              19.16666666666667                            5.0                            0.0                            0.0           -0.06894799857526124            -0.9720713304154653                            0.0                            0.0
   6                          19.75             5.0000000000000036                            0.0                            0.0           -0.08299966980452567             -1.099436898564481                            0.0                            0.0
   7             20.333333333333336             4.9999999999999964                            0.0                            0.0            -0.0988327008547536             -1.234518376445358                            0.0                            0.0
   8             20.916666666666657              5.000000000000002                            0.0                            0.0            -0.1165516662768411            -1.3772908722919421                            0.0                            0.0
   9             21.500000000000007              5.000000000000002                            0.0                            0.0           -0.13626079309629446            -1.5277280770968171                            0.0                            0.0
  10             22.083333333333336              4.999999999999997                            0.0                            0.0           -0.15806394160715698             -1.685802269459586                            0.0                            0.0
  11             22.666666666666664              5.000000000000005                            0.0                            0.0            -0.1820645862333663             -1.851484320694981                            0.0                            0.0
  12             23.250000000000007              4.999999999999997                            0.0                            0.0           -0.20836579646138986            -2.0247437002006694                            0.0                            0.0
  13              23.83333333333333              5.000000000000003                            0.0                            0.0           -0.23707021784724702             -2.205548481082877                            0.0                            0.0
  14             24.300000000000008                            5.0                            0.0                            0.0            -0.2620380860510245            -2.3562019730487287                            0.0                            0.0
  15             24.649999999999977              4.999999999999998                            0.0                            0.0           -0.28193720690951807             -2.472556914150112                            0.0                            0.0
  16             24.883333333333344              5.000000000000002                            0.0                            0.0           -0.29573821987639093            -2.5516175407928787                            0.0                            0.0
  17                           25.0                            5.0                            0.0                            0.0             -0.302774142976169             -2.591519907840378                            0.0                            0.0
# Kratos Output Displacements 
#
# curve_a.CurveGeometry3D
# solution step :: 2
# Id                        Init x:                        Init y:                        Init z:                Init rotartion:                         Disp x                         Disp y                         Disp z                  Disp rotation
#***********************************************************************************************************************************************************************************************************************************************************#
   1                           10.0                            5.0                            0.0                            0.0                            0.0                            0.0                            0.0                            0.0
   2              10.13333333333332              4.999999999999993                            0.0                            0.0        -1.3533198384152456e-07         -7.753904185392457e-10                            0.0                            0.0
   3              10.40000000000002              5.000000000000009                            0.0                            0.0        -4.0600498074638836e-07         -0.0015514076803357923                            0.0                            0.0
   4             10.799999999999985              4.999999999999994                            0.0                            0.0        -3.6914956760725204e-05          -0.008532734104741202                            0.0                            0.0
   5             11.333333333333343              5.000000000000003                            0.0                            0.0         -0.0003022111043957665          -0.027147921077296466                            0.0                            0.0
   6             11.999999999999996              5.000000000000001                            0.0                            0.0         -0.0013556941786738719           -0.06591555708387631                            0.0                            0.0
   7             12.666666666666675              5.000000000000001                            0.0                            0.0         -0.0034914828869592185           -0.12016085193377979                            0.0                            0.0
   8             13.333333333333329                            5.0                            0.0                            0.0         -0.0070694338837355986            -0.1898544307253731                            0.0                            0.0
   9             14.000000000000007              5.000000000000002                            0.0                            0.0          -0.012448622863857395            -0.2749585530019978                            0.0                            0.0
  10             14.666666666666666              4.999999999999997                            0.0                            0.0           -0.01998715011620078           -0.37542713319360566                            0.0                            0.0
  11             15.333333333333336              5.000000000000005                            0.0                            0.0          -0.030041946604933756            -0.4912057655700659                            0.0                            0.0
  12             16.000000000000004             4.9999999999999964                            0.0                            0.0            -0.0429685806848461            -0.6222317537058526                            0.0                            0.0
  13             16.666666666666664              5.000000000000005                            0.0                            0.0           -0.05912106555303964            -0.7684341444271006                            0.0                            0.0
  14             17.199999999999996             4.9999999999999964                            0.0                            0.0           -0.07490554714717845            -0.8974738418789672                            0.0                            0.0
  15             17.599999999999994              5.000000000000002                            0.0                            0.0            -0.0885117089692109             -1.001008062831418                            0.0                            0.0
  16             17.866666666666667              5.000000000000002                            0.0                            0.0           -0.09841459953625176            -1.0730201236177628                            0.0                            0.0
  17                           18.0                            5.0                            0.0                            0.0           -0.10357985788159141             -1.109771807159368                            0.0                            0.0
# Kratos Output Displacements 
#
# curve_b.CurveGeometry3D
# solution step :: 2
# Id                        Init x:                        Init y:                        Init z:                Init rotartion:                         Disp x                         Disp y                         Disp z                  Disp rotation
#***********************************************************************************************************************************************************************************************************************************************************#
   1                           18.0                            5.0                            0.0                            0.0           -0.10357985788159496            -1.1097718071593667                            0.0                            0.0
   2              18.11666666666666              4.999999999999995                            0.0                            0.0           -0.10809945895248063            -1.1419295303234804                            0.0                            0.0
   3             18.350000000000016              5.000000000000007                            0.0                            0.0           -0.11746606234584434            -1.2073867580351019                            0.0                            0.0
   4              18.69999999999999             4.9999999999999964                            0.0                            0.0           -0.13252142039040749            -1.3089912771396968                            0.0                            0.0
   5              19.16666666666667                            5.0                            0.0                            0.0           -0.15469886231725383            -1.4512737110470852                            0.0                            0.0
   6                          19.75             5.0000000000000036                            0.0                            0.0            -0.1861570763315612            -1.6404025841958636                            0.0                            0.0
   7             20.333333333333336             4.9999999999999964                            0.0                            0.0            -0.2215805124177912            -1.8407288742343093                            0.0                            0.0
   8             20.916666666666657              5.000000000000002                            0.0                            0.0           -0.26119633703992307            -2.0521695247790803                            0.0                            0.0
   9             21.500000000000007              5.000000000000002                            0.0                            0.0           -0.30522997847412014            -2.2746368713704666                            0.0                            0.0
  10             22.083333333333336              4.999999999999997                            0.0                            0.0           -0.35390503334564016             -2.508038677820527                            0.0                            0.0
  11             22.666666666666664              5.000000000000005                            0.0                            0.0           -0.40744317392384133            -2.7522781744533957                            0.0                            0.0
